epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1906.33,1.74277,2.9978,1.82015,0.50523,0.49767,0.51956,0.23656,1.78362,2.07259,1.97779,0.000416012,0.000416012,0.000416012
2,2023.11,1.7342,2.08795,1.77214,0.75089,0.59505,0.71234,0.32276,1.75588,1.70079,1.9682,0.000816191,0.000816191,0.000816191
3,2140.04,1.74142,1.85625,1.77281,0.75569,0.68252,0.74088,0.35917,1.74959,1.60116,1.88807,0.00119987,0.00119987,0.00119987
4,2256.6,1.73375,1.7544,1.76922,0.75662,0.68323,0.75288,0.37651,1.72736,1.48888,1.83386,0.00117575,0.00117575,0.00117575
5,2371.37,1.6895,1.62372,1.72206,0.76445,0.68491,0.7772,0.4086,1.67502,1.53925,1.82562,0.001151,0.001151,0.001151
6,2486.89,1.67251,1.56305,1.70053,0.81236,0.72143,0.79548,0.41673,1.68789,1.35936,1.7918,0.00112625,0.00112625,0.00112625
7,2603.06,1.65192,1.49447,1.68511,0.79077,0.63942,0.74149,0.38121,1.7534,1.44077,1.83703,0.0011015,0.0011015,0.0011015
8,2718.03,1.64543,1.46034,1.68353,0.79077,0.70871,0.80403,0.42429,1.64839,1.32337,1.74117,0.00107675,0.00107675,0.00107675
9,2834.2,1.61792,1.38825,1.64702,0.84288,0.77066,0.85115,0.46733,1.62484,1.1959,1.75262,0.001052,0.001052,0.001052
10,2950.17,1.59064,1.32911,1.63466,0.8176,0.79188,0.85811,0.4794,1.60686,1.13374,1.70467,0.00102725,0.00102725,0.00102725
11,3066.72,1.59151,1.31032,1.62605,0.82788,0.81396,0.8843,0.49595,1.59454,1.04249,1.68609,0.0010025,0.0010025,0.0010025
12,3182.68,1.57323,1.25602,1.61921,0.83005,0.82966,0.87887,0.48661,1.59817,1.05765,1.70714,0.00097775,0.00097775,0.00097775
13,3298.45,1.57033,1.24712,1.60487,0.82759,0.76831,0.85155,0.483,1.57846,1.14586,1.67292,0.000953,0.000953,0.000953
14,3417.12,1.54899,1.21542,1.59632,0.82866,0.81474,0.87584,0.49217,1.58974,1.06184,1.71655,0.00092825,0.00092825,0.00092825
15,3544.08,1.55443,1.16982,1.59212,0.8362,0.81923,0.88231,0.48962,1.62109,0.97685,1.69097,0.0009035,0.0009035,0.0009035
16,3668.12,1.53643,1.16429,1.58686,0.85018,0.84059,0.90949,0.51419,1.59555,0.94411,1.66951,0.00087875,0.00087875,0.00087875
17,3788.18,1.53067,1.11787,1.57748,0.85184,0.82151,0.89189,0.50499,1.63986,0.95537,1.71617,0.000854,0.000854,0.000854
18,3906.46,1.50241,1.10212,1.55429,0.89707,0.84219,0.89531,0.50794,1.60813,0.97644,1.66772,0.00082925,0.00082925,0.00082925
19,4024.78,1.49571,1.08892,1.55507,0.88243,0.84122,0.9029,0.52461,1.56648,0.91577,1.64359,0.0008045,0.0008045,0.0008045
20,4143.59,1.49964,1.06723,1.55368,0.89208,0.86093,0.92159,0.52344,1.58943,0.89179,1.66486,0.00077975,0.00077975,0.00077975
21,4262.06,1.48656,1.03653,1.53765,0.87667,0.87409,0.91684,0.53208,1.53989,0.86299,1.6205,0.000755,0.000755,0.000755
22,4379.02,1.47384,1.02873,1.53329,0.87739,0.83127,0.90463,0.51154,1.59077,0.88452,1.66965,0.00073025,0.00073025,0.00073025
23,4499.72,1.47288,1.00792,1.53598,0.90455,0.85094,0.91565,0.53725,1.53321,0.84799,1.62053,0.0007055,0.0007055,0.0007055
24,4615.21,1.45814,0.99674,1.51179,0.90513,0.83166,0.91262,0.52922,1.55866,0.85951,1.61954,0.00068075,0.00068075,0.00068075
25,4732.78,1.43908,0.97197,1.50478,0.88308,0.8763,0.92252,0.5307,1.56679,0.81378,1.61847,0.000656,0.000656,0.000656
26,4849.02,1.44973,0.94711,1.50976,0.87154,0.86236,0.91651,0.53851,1.53362,0.84194,1.6151,0.00063125,0.00063125,0.00063125
27,4964.03,1.42492,0.95477,1.4957,0.89066,0.8697,0.92684,0.55268,1.53112,0.8043,1.60538,0.0006065,0.0006065,0.0006065
28,5079.47,1.40981,0.91839,1.48084,0.8758,0.87672,0.93608,0.54905,1.5521,0.80354,1.61101,0.00058175,0.00058175,0.00058175
29,5194.57,1.40809,0.90523,1.48049,0.87483,0.89115,0.92684,0.53967,1.57809,0.78467,1.65127,0.000557,0.000557,0.000557
30,5309.25,1.40465,0.89067,1.47628,0.91646,0.8565,0.93275,0.54154,1.56638,0.78965,1.62879,0.00053225,0.00053225,0.00053225
31,5424.72,1.38087,0.87252,1.46272,0.8767,0.90608,0.9454,0.56236,1.51459,0.74039,1.58756,0.0005075,0.0005075,0.0005075
32,5541.25,1.38111,0.8537,1.45982,0.89808,0.89328,0.94343,0.56118,1.52789,0.74327,1.5957,0.00048275,0.00048275,0.00048275
33,5657.64,1.36165,0.84027,1.43923,0.93084,0.87627,0.94815,0.56024,1.55311,0.7318,1.62983,0.000458,0.000458,0.000458
34,5772.55,1.36798,0.83885,1.45246,0.89153,0.89084,0.94244,0.56429,1.52727,0.7341,1.59859,0.00043325,0.00043325,0.00043325
35,5888.43,1.34933,0.81591,1.42895,0.89541,0.89742,0.94571,0.56073,1.53158,0.73669,1.59463,0.0004085,0.0004085,0.0004085
36,6004.22,1.34389,0.80229,1.41863,0.88142,0.89208,0.93721,0.56449,1.52315,0.71986,1.59908,0.00038375,0.00038375,0.00038375
37,6119.23,1.33015,0.78958,1.4228,0.91686,0.90267,0.94273,0.56262,1.53106,0.7099,1.61949,0.000359,0.000359,0.000359
38,6235.92,1.33393,0.79827,1.42231,0.8874,0.89745,0.93187,0.55515,1.53159,0.74525,1.60564,0.00033425,0.00033425,0.00033425
39,6351.51,1.32083,0.78948,1.40134,0.92919,0.87435,0.94365,0.56434,1.51483,0.70384,1.58762,0.0003095,0.0003095,0.0003095
40,6467.29,1.30841,0.77518,1.40243,0.91488,0.8974,0.93898,0.56964,1.51581,0.71519,1.59459,0.00028475,0.00028475,0.00028475
41,6580.64,1.2959,0.61279,1.46485,0.93131,0.88196,0.94769,0.57913,1.49647,0.68499,1.56626,0.00026,0.00026,0.00026
42,6691.47,1.26637,0.58021,1.43715,0.91067,0.898,0.94459,0.572,1.4983,0.67181,1.5759,0.00023525,0.00023525,0.00023525
43,6801.87,1.24392,0.56884,1.43151,0.92919,0.89543,0.94441,0.5755,1.48982,0.67204,1.57206,0.0002105,0.0002105,0.0002105
44,6913.11,1.23503,0.55658,1.41376,0.91649,0.8978,0.94674,0.58074,1.48802,0.66838,1.5646,0.00018575,0.00018575,0.00018575
45,7026.47,1.21282,0.54911,1.39858,0.92056,0.89727,0.94419,0.57886,1.48632,0.67341,1.56674,0.000161,0.000161,0.000161
46,7137.23,1.20263,0.53794,1.3922,0.9113,0.90665,0.94832,0.58304,1.47532,0.67876,1.56727,0.00013625,0.00013625,0.00013625
47,7248.24,1.18497,0.52569,1.38261,0.92465,0.90516,0.95315,0.58391,1.47344,0.67748,1.55998,0.0001115,0.0001115,0.0001115
48,7359.49,1.16606,0.52023,1.36765,0.91756,0.91329,0.95087,0.58122,1.47686,0.66029,1.56964,8.675e-05,8.675e-05,8.675e-05
49,7471.84,1.15718,0.51034,1.36425,0.93271,0.90584,0.95514,0.59113,1.46983,0.65202,1.55951,6.2e-05,6.2e-05,6.2e-05
50,7583.91,1.14321,0.50557,1.34695,0.92838,0.90545,0.95577,0.59474,1.45931,0.64286,1.55101,3.725e-05,3.725e-05,3.725e-05
